imo,type,number,start,end,Deadweight,ShiptypeLevel5,typnum,vessel_class,time_berth,trip_number,wait_time,anchor_start,anchor_number,mean_wait_time3,mean_wait_time6,mean_wait_time12,mean_wait_time24,mean_wait_time48,mean_wait_time72,sum_dwt_lag6,sum_dwt_lag24,total_vessels_anchor_lag6,total_vessels_anchor_lag24,n_Aframax_lag6,n_VLCC_lag6,n_Aframax_lag24,hour_of_day,day_of_week,month_of_year,berth_3_vessel_class,berth_1_vessel_class,berth_2_vessel_class,berth_4_vessel_class,berth_5_vessel_class,berth_3_dwt,berth_1_dwt,berth_2_dwt,berth_4_dwt,berth_5_dwt,berth_3_time,berth_1_time,berth_2_time,berth_4_time,berth_5_time,pred_berth
9876414.0,berth,2,2021-03-28 15:28:44,2021-03-30 10:00:23,313433.0,Crude Oil Tanker,berth2,VLCC,1 days 18:31:39,1.0,0 days 00:00:00,2021-03-28 15:28:44,,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,15,Sunday,March,No vessel,No vessel,VLCC,No vessel,No vessel,0.0,0.0,313433.0,0.0,0.0,0,0,0 days 00:00:00,0,0,berth2
9856074.0,berth,2,2021-04-02 15:47:06,2021-04-06 22:40:53,318744.0,Crude Oil Tanker,berth2,VLCC,4 days 06:53:47,1.0,0 days 00:00:00,2021-04-02 15:47:06,,,,,,,0 days 00:00:35,0.0,0.0,0,0,0,0,0,15,Friday,April,No vessel,No vessel,VLCC,No vessel,No vessel,0.0,0.0,318744.0,0.0,0.0,0,0,0 days 00:00:00,0,0,berth2
9587192.0,berth,2,2021-04-07 03:33:32,2021-04-08 07:44:20,159058.0,Crude/Oil Products Tanker,berth2,Suezmax,1 days 04:10:48,1.0,0 days 00:00:00,2021-04-07 03:33:32,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,3,Wednesday,April,No vessel,No vessel,Suezmax,No vessel,No vessel,0.0,0.0,159058.0,0.0,0.0,0,0,0 days 00:00:00,0,0,berth2
9297890.0,berth,2,2021-04-10 19:29:20,2021-04-11 21:04:06,163292.0,Crude Oil Tanker,berth2,Suezmax,1 days 01:34:46,1.0,0 days 00:00:00,2021-04-10 19:29:20,,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,109989.0,0,1,0,0,1,19,Saturday,April,No vessel,No vessel,Suezmax,Aframax,No vessel,0.0,0.0,163292.0,109989.0,0.0,0,0,0 days 00:00:00,0 days 21:46:01,0,berth2
9412581.0,berth,2,2021-04-14 17:42:21,2021-04-15 17:44:41,164028.0,Crude Oil Tanker,berth2,Suezmax,1 days 00:02:20,1.0,0 days 00:00:00,2021-04-14 17:42:21,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,17,Wednesday,April,No vessel,Aframax,Suezmax,No vessel,No vessel,0.0,114850.0,164028.0,0.0,0.0,0,0 days 10:10:01,0 days 00:00:00,0,0,berth2
9734109.0,berth,2,2021-04-19 11:56:30,2021-04-21 20:06:22,299999.0,Crude Oil Tanker,berth2,VLCC,2 days 08:09:52,1.0,0 days 00:00:00,2021-04-19 11:56:30,,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,11,Monday,April,No vessel,No vessel,VLCC,No vessel,No vessel,0.0,0.0,299999.0,0.0,0.0,0,0,0 days 00:00:00,0,0,berth2
9762998.0,berth,2,2021-04-22 10:32:43,2021-04-24 08:12:19,299998.0,Crude Oil Tanker,berth2,VLCC,1 days 21:39:36,1.0,0 days 00:00:00,2021-04-22 10:32:43,,,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,10,Thursday,April,No vessel,No vessel,VLCC,No vessel,No vessel,0.0,0.0,299998.0,0.0,0.0,0,0,0 days 00:00:00,0,0,berth2
9594743.0,berth,3,2021-04-29 00:31:19,2021-04-30 01:48:35,158465.0,Crude Oil Tanker,berth3,Suezmax,1 days 01:17:16,1.0,0 days 00:00:00,2021-04-29 00:31:19,,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,0,Thursday,April,Suezmax,Aframax,No vessel,No vessel,No vessel,158465.0,106246.0,0.0,0.0,0.0,0 days 00:00:00,0 days 03:16:25,0,0,0,berth3
9384198.0,berth,2,2021-05-03 08:49:30,2021-05-05 02:05:52,319427.0,Crude Oil Tanker,berth2,VLCC,1 days 17:16:22,1.0,0 days 00:00:00,2021-05-03 08:49:30,,,,,,,0 days 00:00:15.500000,0.0,0.0,0,0,0,0,0,8,Monday,May,No vessel,Aframax,VLCC,No vessel,No vessel,0.0,107488.0,319427.0,0.0,0.0,0,0 days 11:08:58,0 days 00:00:00,0,0,berth2
9519717.0,berth,2,2021-05-08 04:03:11,2021-05-09 20:16:58,309988.0,Crude Oil Tanker,berth2,VLCC,1 days 16:13:47,1.0,0 days 00:00:00,2021-05-08 04:03:11,,,,,,0 days 00:04:21.500000,0 days 00:02:54.333333333,0.0,0.0,0,0,0,0,0,4,Saturday,May,No vessel,Aframax,VLCC,No vessel,No vessel,0.0,103194.0,309988.0,0.0,0.0,0,0 days 06:28:38,0 days 00:00:00,0,0,berth2
9731169.0,berth,2,2021-05-11 12:43:37,2021-05-13 06:31:16,299507.0,Crude Oil Tanker,berth2,VLCC,1 days 17:47:39,1.0,0 days 00:00:00,2021-05-11 12:43:37,,,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,12,Tuesday,May,No vessel,Aframax,VLCC,No vessel,No vessel,0.0,107505.0,299507.0,0.0,0.0,0,0 days 08:50:50,0 days 00:00:00,0,0,berth2
9411238.0,berth,2,2021-05-15 00:21:23,2021-05-16 04:53:24,158099.0,Crude Oil Tanker,berth2,Suezmax,1 days 04:32:01,1.0,0 days 00:00:00,2021-05-15 00:21:23,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,0,Saturday,May,No vessel,No vessel,Suezmax,No vessel,No vessel,0.0,0.0,158099.0,0.0,0.0,0,0,0 days 00:00:00,0,0,berth2
9427639.0,berth,1,2021-05-17 07:28:20,2021-05-18 03:21:30,156827.0,Crude Oil Tanker,berth1,Suezmax,0 days 19:53:10,1.0,0 days 00:00:00,2021-05-17 07:28:20,,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,7,Monday,May,No vessel,Suezmax,No vessel,No vessel,No vessel,0.0,156827.0,0.0,0.0,0.0,0,0 days 00:00:00,0,0,0,berth3
9783708.0,berth,2,2021-05-19 08:21:03,2021-05-21 03:52:37,298858.0,Crude Oil Tanker,berth2,VLCC,1 days 19:31:34,1.0,0 days 00:00:00,2021-05-19 08:21:03,,,0 days 00:12:00,0 days 00:12:00,0 days 00:12:00,0 days 00:06:00,0 days 00:04:00,0.0,0.0,0,0,0,0,0,8,Wednesday,May,Aframax,No vessel,VLCC,No vessel,No vessel,113004.0,0.0,298858.0,0.0,0.0,0 days 15:49:07,0,0 days 00:00:00,0,0,berth2
9594133.0,berth,3,2021-05-21 22:34:02,2021-05-22 23:43:19,158640.0,Crude Oil Tanker,berth3,Suezmax,1 days 01:09:17,1.0,0 days 00:00:00,2021-05-21 22:34:02,,,,,0 days 00:00:00,0 days 00:00:00,0 days 00:04:00,0.0,0.0,0,0,0,0,0,22,Friday,May,Suezmax,Aframax,No vessel,No vessel,No vessel,158640.0,109900.0,0.0,0.0,0.0,0 days 00:00:00,0 days 11:17:23,0,0,0,berth3
9874911.0,berth,2,2021-05-26 10:52:24,2021-05-28 04:56:08,299420.0,Crude Oil Tanker,berth2,VLCC,1 days 18:03:44,1.0,0 days 00:00:00,2021-05-26 10:52:24,,,,,,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,10,Wednesday,May,No vessel,No vessel,VLCC,No vessel,No vessel,0.0,0.0,299420.0,0.0,0.0,0,0,0 days 00:00:00,0,0,berth2
9823003.0,berth,2,2021-05-29 11:16:06,2021-05-31 05:42:10,317975.0,Crude Oil Tanker,berth2,VLCC,1 days 18:26:04,1.0,0 days 00:00:00,2021-05-29 11:16:06,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,11,Saturday,May,No vessel,No vessel,VLCC,No vessel,No vessel,0.0,0.0,317975.0,0.0,0.0,0,0,0 days 00:00:00,0,0,berth2
9818216.0,berth,3,2021-05-31 22:06:03,2021-06-02 03:44:09,157338.0,Crude Oil Tanker,berth3,Suezmax,1 days 05:38:06,1.0,0 days 00:00:00,2021-05-31 22:06:03,,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,22,Monday,May,Suezmax,No vessel,No vessel,No vessel,No vessel,157338.0,0.0,0.0,0.0,0.0,0 days 00:00:00,0,0,0,0,berth3
9803285.0,berth,3,2021-06-03 15:45:32,2021-06-04 17:22:19,156424.0,Crude Oil Tanker,berth3,Suezmax,1 days 01:36:47,1.0,0 days 00:00:00,2021-06-03 15:45:32,,,,,,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,15,Thursday,June,Suezmax,No vessel,No vessel,No vessel,No vessel,156424.0,0.0,0.0,0.0,0.0,0 days 00:00:00,0,0,0,0,berth2
9594781.0,berth,3,2021-06-07 00:59:12,2021-06-08 02:42:21,158542.0,Crude Oil Tanker,berth3,Suezmax,1 days 01:43:09,1.0,0 days 00:00:00,2021-06-07 00:59:12,,,,,,0 days 00:22:39.500000,0 days 00:15:06.333333333,0.0,0.0,0,0,0,0,0,0,Monday,June,Suezmax,No vessel,No vessel,Aframax,No vessel,158542.0,0.0,0.0,109900.0,0.0,0 days 00:00:00,0,0,0 days 03:27:51,0,berth3
9645425.0,berth,2,2021-06-07 05:51:18,2021-06-08 08:30:44,158888.0,Crude Oil Tanker,berth2,Suezmax,1 days 02:39:26,1.0,0 days 00:00:00,2021-06-07 05:51:18,,,,,,0 days 00:22:39.500000,0 days 00:15:06.333333333,0.0,0.0,0,0,0,0,0,5,Monday,June,Suezmax,No vessel,Suezmax,Aframax,No vessel,158542.0,0.0,158888.0,109900.0,0.0,0 days 04:52:06,0,0 days 00:00:00,0 days 08:19:57,0,berth2
9784013.0,berth,3,2021-06-09 00:38:51,2021-06-10 05:44:45,157162.0,Crude/Oil Products Tanker,berth3,Suezmax,1 days 05:05:54,1.0,0 days 00:00:00,2021-06-09 00:38:51,,,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,0,Wednesday,June,Suezmax,Aframax,No vessel,No vessel,No vessel,157162.0,115459.0,0.0,0.0,0.0,0 days 00:00:00,1 days 00:28:11,0,0,0,berth3
9645425.0,berth,2,2021-06-11 00:08:16,2021-06-12 00:41:00,158888.0,Crude Oil Tanker,berth2,Suezmax,1 days 00:32:44,2.0,0 days 00:00:00,2021-06-11 00:08:16,,,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,0,Friday,June,Aframax,No vessel,Suezmax,No vessel,No vessel,107505.0,0.0,158888.0,0.0,0.0,0 days 10:07:52,0,0 days 00:00:00,0,0,berth2
9325049.0,berth,3,2021-06-12 05:33:43,2021-06-13 11:30:50,158425.0,Crude Oil Tanker,berth3,Suezmax,1 days 05:57:07,1.0,0 days 00:00:00,2021-06-12 05:33:43,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,5,Saturday,June,Suezmax,No vessel,Aframax,No vessel,No vessel,158425.0,0.0,109896.0,0.0,0.0,0 days 00:00:00,0,0 days 04:16:00,0,0,berth3
9826847.0,berth,2,2021-06-16 00:08:29,2021-06-18 03:30:26,308121.0,Crude Oil Tanker,berth2,VLCC,2 days 03:21:57,1.0,0 days 00:00:00,2021-06-16 00:08:29,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:13:03.666666666,0 days 00:09:47.750000,0.0,0.0,0,0,0,0,0,0,Wednesday,June,No vessel,Aframax,VLCC,No vessel,No vessel,0.0,111964.0,308121.0,0.0,0.0,0,0 days 02:05:39,0 days 00:00:00,0,0,berth2
9782522.0,berth,2,2021-06-19 07:13:03,2021-06-21 05:11:17,312328.0,Crude Oil Tanker,berth2,VLCC,1 days 21:58:14,2.0,0 days 00:00:00,2021-06-19 07:13:03,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,7,Saturday,June,No vessel,No vessel,VLCC,No vessel,No vessel,0.0,0.0,312328.0,0.0,0.0,0,0,0 days 00:00:00,0,0,berth2
9528794.0,berth,2,2021-06-21 10:25:35,2021-06-23 21:07:46,318130.0,Crude Oil Tanker,berth2,VLCC,2 days 10:42:11,1.0,0 days 00:00:00,2021-06-21 10:25:35,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,10,Monday,June,No vessel,No vessel,VLCC,No vessel,No vessel,0.0,0.0,318130.0,0.0,0.0,0,0,0 days 00:00:00,0,0,berth2
9858450.0,berth,2,2021-07-03 09:02:34,2021-07-05 03:50:59,299999.0,Crude Oil Tanker,berth2,VLCC,1 days 18:48:25,2.0,0 days 00:00:00,2021-07-03 09:02:34,,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,9,Saturday,July,No vessel,No vessel,VLCC,No vessel,No vessel,0.0,0.0,299999.0,0.0,0.0,0,0,0 days 00:00:00,0,0,berth2
9858450.0,berth,5,2021-07-05 07:09:35,2021-07-06 08:50:29,299999.0,Crude Oil Tanker,berth5,VLCC,1 days 01:40:54,3.0,0 days 00:00:00,2021-07-05 07:09:35,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,7,Monday,July,No vessel,No vessel,No vessel,No vessel,VLCC,0.0,0.0,0.0,0.0,299999.0,0,0,0,0,0 days 00:00:00,berth2
9379208.0,berth,2,2021-07-05 17:04:06,2021-07-06 22:34:06,159021.0,Crude Oil Tanker,berth2,Suezmax,1 days 05:30:00,1.0,0 days 00:00:00,2021-07-05 17:04:06,,,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,17,Monday,July,No vessel,No vessel,Suezmax,No vessel,VLCC,0.0,0.0,159021.0,0.0,299999.0,0,0,0 days 00:00:00,0,0 days 09:54:31,berth3
9399478.0,berth,3,2021-07-06 12:09:38,2021-07-08 00:12:51,157048.0,Crude Oil Tanker,berth3,Suezmax,1 days 12:03:13,1.0,0 days 00:00:00,2021-07-06 12:09:38,,,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0.0,0.0,0,0,0,0,0,12,Tuesday,July,Suezmax,No vessel,Suezmax,No vessel,No vessel,157048.0,0.0,159021.0,0.0,0.0,0 days 00:00:00,0,0 days 19:05:32,0,0,berth3
